,raw,iq_dr,original_ph,recovered_ph,mix,pll_vco,costas_vco,ed,v,acc,angle,angle_c,mon,mon_iq,demon
0,(1+0j),0j,0.0,0.0,(0.0009096934075879041-0.0008352343434086884j),(1+0j),(0.7071067811865476+0.7071067811865475j),0.0008352343434086884,3.233553694188146e-05,0.0005905998681041772,0.0,0.0,(0.0006432503773061048-0.0005905998681041771j),[5.35886922e-07-4.9202419e-07j],[2.23221628e-10]
1,(0.9999980723435097+0.001963494146845236j),(0.7071054181275713+0.001388400026054361j),0.001963495408493621,0.0,(0.7069314810943083+0.0014855057266286492j),(1+0j),(6.123233995736766e-17+1j),-0.0014855057266286492,8.400488132576977e-07,-9.096099166154192e-20,0.0,0.0,(0.7069314810943083+0.0014855057266286492j),[0.00059199-1.56016363e-06j],[1.64873692e-06]
2,(0.9999922893814706+0.003926980723806j),(0.9999922893814706+0.003926980723806j),0.003926990816987242,0.0,(0.9995798359723996+0.005613830790029334j),(0.9999999994772065+3.2335536936246524e-05j),(-0.7071067811865475+0.7071067811865476j),-0.005613830790029334,0.0002181757394837771,0.003969577820063575,3.233553694188146e-05,0.0,(0.7068096803534207+0.003969577820063575j),[0.00394613+2.54332587e-06j],[3.70507435e-05]
3,(0.9999826511361778+0.005890452161027005j),(0.707094513687293+0.004165178667317149j),0.005890486225480862,3.233553694181879e-05,(0.707124442212407+0.004144209857929575j),(0.9999999994496902+3.317558574905354e-05j),(-1+1.2246467991473532e-16j),-0.0041213446072433275,0.0002321312110905303,0.0041213446072433275,3.3175585755139156e-05,0.027361592809626318,(8.659776847542817e-17+5.075193337508361e-19j),[0.01270179+2.33893122e-05j],[0.00028094]
4,(0.9999691576447897+0.007853900888711334j),(1.2246090281557666e-16+9.618254584180888e-19j),0.007853981633974483,3.317558575499646e-05,(0.00035992333249157757+0.0006949226225034859j),(0.9999999684112558+0.000251351322592292j),(-0.6874969537678293-0.7261872613589109j),-0.000694910681453683,3.8505210401794564e-05,0.0004777489766401334,0.00025135132523891623,0.028072422928510064,(-0.00026137173912123144-0.0005046439560921586j),[0.02735821+6.62724475e-05j],[0.0011507]
5,(0.999951808959328+0.009817319337149617j),(-0.7070727049748958-0.006941893076372316j),0.009817477042468103,0.0002513513252391242,(-0.7069522101933485-0.007129062758998266j),(0.9999998831223208+0.0004834825174933408j),(0.028068735943842026-0.9996059954114496j),0.006951369160758484,2.3710503586086502e-05,0.00019511614542149666,0.00048348253632944654,0.0014067211828560355,(0.7066736677786465+0.007126253875559157j),[0.04681275+0.00013126j],[0.00326054]
6,(0.9999306051466773+0.011780699936749225j),(-0.9999306051466773-0.011780699936749225j),0.011780972450961723,0.0004834825363295714,(-0.999590365119421-0.012135388032790259j),(0.9999998637643992+0.0005219877230268028j),(0.7081007833119869-0.7061113797928417j),0.011652102148244244,0.0004650427999986201,0.008250862658403035,0.0005219877467312411,0.0014063330793471283,(0.7058221319421047+0.008568935588155068j),[0.07117692+0.000233j],[0.00745956]
7,(0.999905546288585+0.013744035118063451j),(-0.7070399923266979-0.00971850043284872j),0.013744467859455347,0.0005219877467310674,(-0.7059278513820185-0.011023817973037904j),(0.9999998511067135+0.0005456982232337253j),(0.999999011113798+0.0014063326157793868j),0.010655330799437337,0.0006084233858083154,0.010655320262527732,0.0005456982503173276,0.028728181375282248,(-0.0009927693617855964-1.5503154765898214e-05j),[0.10142688+0.00039546j],[0.01491284]
8,(0.9998766324816606+0.015707317311820675j),(-2.4489914350218004e-16-3.8471831738226e-18j),0.015707963267948967,0.0005456982503173613,(0.0002872621586540682+0.0006563023258655196j),(0.9999994892013081+0.001010740878220873j),(0.68650391289654+0.7271261084418162j),-0.0006561454696969296,1.5534766964596386e-05,-0.00045044643237628025,0.0010107410503159477,0.026367783450050083,(0.00020887581552472823+0.000477214556167908j),[0.13675649+0.00062203j],[0.02674254]
9,(0.9998438638373761+0.017670538948953582j),(0.7069963762471676+0.012494957918026083j),0.017671458676442587,0.0010107410503157332,(0.7075573435819313+0.012753554199137013j),(0.9999986891535508+0.0016191637286322173j),(-0.02636472814539192+0.999652390138602j),-0.012038390553794583,5.693330411161988e-05,0.0003173888942588483,0.0016191644361242632,-0.0002863976780053644,(0.7073113896717976+0.012749120937929518j),[0.17507761+0.00090303j],[0.04365861]
